# z=0.000677
# A_B=0.081,A_V=0.061, A_R=0.081,A_I=0
# FLT,MJD,MAG,MAGERR
B,56767.26,15.380,0.01
I,56767.26,12.695,0.01
R,56767.26,13.086,0.01
V,56767.26,13.538,0.01
B,56774.8,15.215,0.01
I,56774.8,12.480,0.01
R,56774.8,12.945,0.01
V,56774.8,13.602,0.01
B,56777.9,15.407,0.01
I,56777.9,12.608,0.01
R,56777.9,13.062,0.01
V,56777.9,13.682,0.01
B,56785.8,15.405,0.01
I,56785.8,12.731,0.01
R,56785.8,13.199,0.01
V,56785.8,13.829,0.01
B,56798.9,15.571,0.01
I,56798.9,13.078,0.01
R,56798.9,13.545,0.01
V,56798.9,14.108,0.01
